# Wavelength	Flux_normalized	Order
3804.24000000 1.61451949 5
3804.27000000 1.91351735 5
3804.30000000 2.32739125 5
3804.33000000 2.77306817 5
3804.36000000 3.26233917 5
3804.39000000 3.29599207 5
3804.42000000 2.95730664 5
3804.45000000 2.41601567 5
3804.48000000 1.91665694 5
3804.51000000 1.77000745 5
3804.54000000 1.46538091 5
3804.57000000 1.18428429 5
3804.60000000 1.02745081 5
3804.63000000 0.96060197 5
3804.66000000 0.72432296 5
3804.69000000 0.88674716 5
3804.72000000 1.20203763 5
3804.75000000 1.33207547 5
3804.78000000 1.17028090 5
3804.81000000 1.17559719 5
3804.84000000 1.05915951 5
3804.87000000 1.11839929 5
3804.90000000 1.21797183 5
3804.93000000 1.16437231 5
3804.96000000 0.98851596 5
3804.99000000 0.83259959 5
3805.02000000 0.78328453 5
3805.05000000 0.74351540 5
3805.08000000 0.61788269 5
3805.11000000 0.46394682 5
3805.14000000 0.42448342 5
3805.17000000 0.35278047 5
3805.20000000 0.35506369 5
3805.23000000 0.51185262 5
3805.26000000 0.66147580 5
3805.29000000 0.80869333 5
3805.32000000 1.07262089 5
3805.35000000 1.23182119 5
3805.38000000 1.18773938 5
3805.41000000 1.32831536 5
3805.44000000 1.23771622 5
3805.47000000 0.99268258 5
3805.50000000 0.68971927 5
3805.53000000 0.41939625 5
3805.56000000 0.23520482 5
3805.59000000 0.20856472 5
3805.62000000 0.18413871 5
3805.65000000 0.21601619 5
3805.68000000 0.40463413 5
3805.71000000 0.79576495 5
3805.74000000 0.91906500 5
3805.77000000 0.99499974 5
3805.80000000 1.04476498 5
3805.83000000 1.02701167 5
3805.86000000 0.89841788 5
3805.89000000 0.83873952 5
3805.92000000 0.64816255 5
3805.95000000 0.45372566 5
3805.98000000 0.39822299 5
3806.01000000 0.48116418 5
3806.04000000 0.63925436 5
3806.07000000 0.79215514 5
3806.10000000 0.92389468 5
3806.13000000 1.06175400 5
3806.16000000 1.26418238 5
3806.19000000 1.43068870 5
3806.22000000 1.74508921 5
3806.25000000 2.11488911 5
